PheCode	Number of cases	Number of controls	Number of excluded controls	Phenotype Description	Phenotype Category	url_sum	URL QQ Plot	URL-QQPlot	URL Manhattan Plot	URL-ManhattanPlot
008	"8,991"	"399,970"	0	Intestinal infection	infectious diseases	wget https://www.dropbox.com/s/cn4ddab4b78tbuk/PheCode_008_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/gsfdwc3xy2oev3m/008-Intestinalinfection-8991cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/gsfdwc3xy2oev3m/008-Intestinalinfection-8991cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/gcgebupbmxyd99a/008-Intestinalinfection-8991cases-399970controls.mh.pdf?dl=0	https://www.dropbox.com/s/gcgebupbmxyd99a/008-Intestinalinfection-8991cases-399970controls.mh.pdf?dl=0
008.5	"2,737"	"399,970"	"6,254"	Bacterial enteritis	infectious diseases	wget https://www.dropbox.com/s/za188n6asgg16pk/PheCode_008.5_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/bl9e4d22rpiosay/008.5-Bacterialenteritis-2737cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/bl9e4d22rpiosay/008.5-Bacterialenteritis-2737cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/h113mxbyyh5o4u2/008.5-Bacterialenteritis-2737cases-399970controls.mh.pdf?dl=0	https://www.dropbox.com/s/h113mxbyyh5o4u2/008.5-Bacterialenteritis-2737cases-399970controls.mh.pdf?dl=0
008.52	650	"399,970"	"8,341"	Intestinal infection due to C. difficile	infectious diseases	wget https://www.dropbox.com/s/k9qqo9e0f23ovrq/PheCode_008.52_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/vat95qgjdoxis6f/008.52-IntestinalinfectionduetoC.difficile-650cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/vat95qgjdoxis6f/008.52-IntestinalinfectionduetoC.difficile-650cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/7uefns29a0l44fy/008.52-IntestinalinfectionduetoC.difficile-650cases-399970controls.mh.pdf?dl=0	https://www.dropbox.com/s/7uefns29a0l44fy/008.52-IntestinalinfectionduetoC.difficile-650cases-399970controls.mh.pdf?dl=0
008.6	862	"399,970"	"8,129"	Viral Enteritis	infectious diseases	wget https://www.dropbox.com/s/ip0u3b799uktewn/PheCode_008.6_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/asw7x9wq5m4zwka/008.6-ViralEnteritis-862cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/asw7x9wq5m4zwka/008.6-ViralEnteritis-862cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/tbcm6e74mre23pe/008.6-ViralEnteritis-862cases-399970controls.mh.pdf?dl=0	https://www.dropbox.com/s/tbcm6e74mre23pe/008.6-ViralEnteritis-862cases-399970controls.mh.pdf?dl=0
008.7	55	"399,970"	"8,936"	Intestinal infection due to protozoa	infectious diseases	wget https://www.dropbox.com/s/e37ghncn34038uv/PheCode_008.7_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/vlte6wi1j1aeqbl/008.7-Intestinalinfectionduetoprotozoa-55cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/vlte6wi1j1aeqbl/008.7-Intestinalinfectionduetoprotozoa-55cases-399970controls.qq.pdf?dl=0	https://www.dropbox.com/s/gm6wxym4tiamqpm/008.7-Intestinalinfectionduetoprotozoa-55cases-399970controls.mh.pdf?dl=0	https://www.dropbox.com/s/gm6wxym4tiamqpm/008.7-Intestinalinfectionduetoprotozoa-55cases-399970controls.mh.pdf?dl=0
010	168	"393,897"	"14,896"	Tuberculosis	infectious diseases	wget https://www.dropbox.com/s/9oz71u1jcu13fws/PheCode_010_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/iyg8nang23oussy/010-Tuberculosis-168cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/iyg8nang23oussy/010-Tuberculosis-168cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/26p4tow0qfl65r5/010-Tuberculosis-168cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/26p4tow0qfl65r5/010-Tuberculosis-168cases-393897controls.mh.pdf?dl=0
038	"4,005"	"393,897"	"11,059"	Septicemia	infectious diseases	wget https://www.dropbox.com/s/3y0352nb944r1nv/PheCode_038_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/mbyxbr293sg3iv5/038-Septicemia-4005cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/mbyxbr293sg3iv5/038-Septicemia-4005cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/mo8rg4pvi4i9eyp/038-Septicemia-4005cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/mo8rg4pvi4i9eyp/038-Septicemia-4005cases-393897controls.mh.pdf?dl=0
038.1	832	"393,897"	"14,232"	Gram negative septicemia	infectious diseases	wget https://www.dropbox.com/s/rcvqziprwvtpn6x/PheCode_038.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/6ewue9rcza7pu9k/038.1-Gramnegativesepticemia-832cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/6ewue9rcza7pu9k/038.1-Gramnegativesepticemia-832cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/hp0oib8kx169bir/038.1-Gramnegativesepticemia-832cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/hp0oib8kx169bir/038.1-Gramnegativesepticemia-832cases-393897controls.mh.pdf?dl=0
038.2	492	"393,897"	"14,572"	Gram positive septicemia	infectious diseases	wget https://www.dropbox.com/s/8hysyq0mmvn5ki0/PheCode_038.2_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/a6sb70hoq8nj6u1/038.2-Grampositivesepticemia-492cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/a6sb70hoq8nj6u1/038.2-Grampositivesepticemia-492cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/x5n8kwuss7wh18i/038.2-Grampositivesepticemia-492cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/x5n8kwuss7wh18i/038.2-Grampositivesepticemia-492cases-393897controls.mh.pdf?dl=0
041	"12,187"	"393,897"	"2,877"	Bacterial infection NOS	infectious diseases	wget https://www.dropbox.com/s/gjy39o7ii6f6n69/PheCode_041_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/yznnaensc9y22gp/041-BacterialinfectionNOS-12187cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/yznnaensc9y22gp/041-BacterialinfectionNOS-12187cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/txmsj5ltpoe826f/041-BacterialinfectionNOS-12187cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/txmsj5ltpoe826f/041-BacterialinfectionNOS-12187cases-393897controls.mh.pdf?dl=0
