	SNP count	sample size
2970	957	2970
2969	862	2969
2968	590	2968
2967	370	2967
2966	210	2966
2965	190	2965
2964	142	2964
2963	81	2963
2962	98	2962
2961	43	2961
2960	41	2960
2959	27	2959
2958	54	2958
2957	39	2957
2956	45	2956
2954	27	2954
2953	13	2953
2952	11	2952
2951	14	2951
2950	13	2950
2949	10	2949
2947	15	2947
2946	14	2946
2945	14	2945
2944	15	2944
2941	14	2941
2936	15	2936
2896	16	2896
2895	13	2895
2892	15	2892
2891	24	2891
2888	15	2888
2884	16	2884
2858	15	2858
2856	13	2856
2845	13	2845
2844	15	2844
2843	14	2843
2841	28	2841
2839	13	2839
2832	14	2832
2830	15	2830
2829	13	2829
2826	13	2826
2795	12	2795
2767	13	2767
2766	13	2766
2720	14	2720
2718	14	2718
2713	14	2713
2686	11	2686
2640	4578	2640
2639	3803	2639
2638	2900	2638
2637	1752	2637
2636	1318	2636
2635	924	2635
2634	699	2634
2633	489	2633
2632	300	2632
2631	128	2631
2630	288	2630
2629	182	2629
2628	90	2628
2627	95	2627
2626	111	2626
2625	101	2625
2624	62	2624
2623	34	2623
2622	11	2622
2621	13	2621
2620	42	2620
2618	42	2618
2617	22	2617
2616	40	2616
2613	13	2613
2612	43	2612
2609	13	2609
2604	14	2604
2603	14	2603
2602	21	2602
2600	14	2600
2597	502	2597
2596	313	2596
2595	284	2595
2594	191	2594
2593	98	2593
2592	103	2592
2591	35	2591
2590	39	2590
2589	43	2589
2588	17	2588
2587	9	2587
2584	8	2584
2582	8	2582
2581	235	2581
2580	40	2580
2579	15	2579
2577	10	2577
2575	9	2575
2568	43	2568
2567	80	2567
2566	162	2566
2565	102	2565
2564	117	2564
2563	39	2563
2562	47	2562
2561	13	2561
2559	23	2559
2558	13	2558
2557	11	2557
2556	29	2556
2555	8	2555
2553	28	2553
2549	12	2549
2548	14	2548
2538	8	2538
2535	7	2535
2527	16	2527
2526	14	2526
2524	17	2524
2523	30	2523
2520	8	2520
2519	7	2519
2518	9	2518
2516	44	2516
2515	86	2515
2514	36	2514
2513	47	2513
2512	175	2512
2511	91	2511
2510	14	2510
2509	243	2509
2508	95	2508
2507	76	2507
2506	25	2506
2505	37	2505
2502	14	2502
2501	43	2501
2500	10	2500
2499	23	2499
2498	15	2498
2497	30	2497
2496	46	2496
2495	24	2495
2494	26	2494
2491	13	2491
2490	14	2490
2489	14	2489
2488	37	2488
2485	15	2485
2483	15	2483
2480	13	2480
2477	11	2477
2473	10	2473
2472	38	2472
2471	51	2471
2470	40	2470
2469	35	2469
2468	46	2468
2467	33	2467
2466	36	2466
2465	37	2465
2464	11	2464
2463	19	2463
2456	42	2456
2455	9	2455
2453	9	2453
2452	22	2452
2450	25	2450
2449	8	2449
2440	11	2440
2439	11	2439
2435	63	2435
2434	26	2434
2433	13	2433
2432	14	2432
2430	13	2430
2429	9	2429
2428	7	2428
2427	11	2427
2424	14	2424
2417	92	2417
2415	16	2415
2412	15	2412
2407	14	2407
2406	15	2406
2400	58	2400
2399	101	2399
2398	13	2398
2397	30	2397
2396	12	2396
2395	29	2395
2393	9	2393
2392	10	2392
2391	10	2391
2378	26	2378
2373	14	2373
2358	205	2358
2357	57	2357
2355	27	2355
2354	42	2354
2353	16	2353
2352	13	2352
2348	25	2348
2345	15	2345
2344	9	2344
2342	11	2342
2340	12	2340
2338	19	2338
2337	14	2337
2333	42	2333
2332	54	2332
2331	12	2331
2328	16	2328
2317	15	2317
2316	8	2316
2313	11	2313
2311	15	2311
2309	14	2309
2305	14	2305
2304	15	2304
2303	15	2303
2295	28	2295
2292	14	2292
2284	15	2284
2282	12	2282
2277	12	2277
2273	13	2273
2266	13	2266
2259	9	2259
2257	12	2257
2254	15	2254
2246	28	2246
2245	20	2245
2242	6	2242
2233	10	2233
2232	15	2232
2225	14	2225
2223	27	2223
2222	25	2222
2221	12	2221
2220	14	2220
2216	13	2216
2211	15	2211
2207	22	2207
2199	9	2199
2189	9	2189
2187	31	2187
2186	27	2186
2179	14	2179
2174	28	2174
2173	25	2173
2172	34	2172
2171	49	2171
2170	57	2170
2169	128	2169
2168	34	2168
2167	77	2167
2166	27	2166
2165	12	2165
2151	28	2151
2148	14	2148
2143	15	2143
2142	9	2142
2138	13	2138
2134	27	2134
2131	11	2131
2129	28	2129
2128	45	2128
2127	68	2127
2126	10	2126
2125	28	2125
2124	8	2124
2121	10	2121
2120	27	2120
2119	13	2119
2113	24	2113
2107	10	2107
2100	91	2100
2099	98	2099
2098	117	2098
2097	29	2097
2092	14	2092
2082	13	2082
