file_name	gene_id
formatted_olinkGWAS_chrALL_pheno1.hm.qc.tsv	ENSG00000169429
formatted_olinkGWAS_chrALL_pheno10.hm.qc.tsv	ENSG00000197122
formatted_olinkGWAS_chrALL_pheno11.hm.qc.tsv	ENSG00000136244
formatted_olinkGWAS_chrALL_pheno12.hm.qc.tsv	ENSG00000160213
formatted_olinkGWAS_chrALL_pheno13.hm.qc.tsv	ENSG00000108691
formatted_olinkGWAS_chrALL_pheno14.hm.qc.tsv	ENSG00000167755
formatted_olinkGWAS_chrALL_pheno15.hm.qc.tsv	ENSG00000131981
formatted_olinkGWAS_chrALL_pheno16.hm.qc.tsv	ENSG00000181104
formatted_olinkGWAS_chrALL_pheno17.hm.qc.tsv	ENSG00000167757
formatted_olinkGWAS_chrALL_pheno18.hm.qc.tsv	ENSG00000120156
formatted_olinkGWAS_chrALL_pheno19.hm.qc.tsv	ENSG00000117525
formatted_olinkGWAS_chrALL_pheno2.hm.qc.tsv	ENSG00000112715
formatted_olinkGWAS_chrALL_pheno20.hm.qc.tsv	ENSG00000120659
formatted_olinkGWAS_chrALL_pheno21.hm.qc.tsv	ENSG00000100311
formatted_olinkGWAS_chrALL_pheno22.hm.qc.tsv	ENSG00000197272
formatted_olinkGWAS_chrALL_pheno23.hm.qc.tsv	ENSG00000184371
formatted_olinkGWAS_chrALL_pheno24.hm.qc.tsv	ENSG00000163739
formatted_olinkGWAS_chrALL_pheno25.hm.qc.tsv	ENSG00000173391
formatted_olinkGWAS_chrALL_pheno26.hm.qc.tsv	ENSG00000120889
formatted_olinkGWAS_chrALL_pheno27.hm.qc.tsv	ENSG00000118972
formatted_olinkGWAS_chrALL_pheno28.hm.qc.tsv	ENSG00000049130
formatted_olinkGWAS_chrALL_pheno29.hm.qc.tsv	ENSG00000150782
formatted_olinkGWAS_chrALL_pheno3.hm.qc.tsv	ENSG00000148926
formatted_olinkGWAS_chrALL_pheno30.hm.qc.tsv	ENSG00000160712
formatted_olinkGWAS_chrALL_pheno31.hm.qc.tsv	ENSG00000125735
formatted_olinkGWAS_chrALL_pheno32.hm.qc.tsv	ENSG00000149968
formatted_olinkGWAS_chrALL_pheno33.hm.qc.tsv	ENSG00000106211
formatted_olinkGWAS_chrALL_pheno34.hm.qc.tsv	ENSG00000121858
formatted_olinkGWAS_chrALL_pheno35.hm.qc.tsv	ENSG00000172179
