file_name	gene_id
27989323-GCST004420-EFO_0008082.h.tsv	ENSG00000213927
27989323-GCST004421-EFO_0008035.h.tsv	ENSG00000134259
27989323-GCST004422-EFO_0004762.h.tsv	ENSG00000112715
27989323-GCST004423-EFO_0008221.h.tsv	ENSG00000240972
27989323-GCST004424-EFO_0008300.h.tsv	ENSG00000121858
27989323-GCST004425-EFO_0008308.h.tsv	ENSG00000226979
27989323-GCST004426-EFO_0004684.h.tsv	ENSG00000232810
27989323-GCST004427-EFO_0008293.h.tsv	ENSG00000107562
27989323-GCST004428-EFO_0008292.h.tsv	ENSG00000105472
27989323-GCST004429-EFO_0008291.h.tsv	ENSG00000049130
27989323-GCST004430-EFO_0008173.h.tsv	ENSG00000172349
27989323-GCST004431-EFO_0005117.h.tsv	ENSG00000271503
27989323-GCST004432-EFO_0008264.h.tsv	ENSG00000100311
27989323-GCST004433-EFO_0008219.h.tsv	ENSG00000275302
27989323-GCST004434-EFO_0008218.h.tsv	ENSG00000277632
27989323-GCST004435-EFO_0008236.h.tsv	ENSG00000138755
27989323-GCST004436-EFO_0008217.h.tsv	ENSG00000184371
27989323-GCST004437-EFO_0008054.h.tsv	ENSG00000108688
27989323-GCST004438-EFO_0004749.h.tsv	ENSG00000108691
27989323-GCST004439-EFO_0004753.h.tsv	ENSG00000168811
27989323-GCST004439-EFO_0004753.h.tsv	ENSG00000113302
27989323-GCST004440-EFO_0008056.h.tsv	ENSG00000169245
27989323-GCST004441-EFO_0004581.h.tsv	ENSG00000150782
27989323-GCST004442-EFO_0008174.h.tsv	ENSG00000112115
27989323-GCST004443-EFO_0008171.h.tsv	ENSG00000169194
27989323-GCST004444-EFO_0004750.h.tsv	ENSG00000136634
27989323-GCST004445-EFO_0004811.h.tsv	ENSG00000169429
27989323-GCST004446-EFO_0004810.h.tsv	ENSG00000136244
27989323-GCST004447-EFO_0004754.h.tsv	ENSG00000136689
27989323-GCST004448-EFO_0004812.h.tsv	ENSG00000125538
27989323-GCST004449-EFO_0006903.h.tsv	ENSG00000019991
27989323-GCST004450-EFO_0008192.h.tsv	ENSG00000145839
27989323-GCST004451-EFO_0008189.h.tsv	ENSG00000104432
27989323-GCST004452-EFO_0008185.h.tsv	ENSG00000113525
27989323-GCST004453-EFO_0008184.h.tsv	ENSG00000113520
27989323-GCST004454-EFO_0008332.h.tsv	ENSG00000134460
27989323-GCST004455-EFO_0008331.h.tsv	ENSG00000109471
27989323-GCST004456-EFO_0008165.h.tsv	ENSG00000111537
27989323-GCST004457-EFO_0008146.h.tsv	ENSG00000163739
27989323-GCST004458-EFO_0008142.h.tsv	ENSG00000108342
27989323-GCST004459-EFO_0008130.h.tsv	ENSG00000138685
27989323-GCST004460-EFO_0008122.h.tsv	ENSG00000172156
