file_name	gene_id
Pietzner2020-10419_1-build38.tsv	ENSG00000168079
Pietzner2020-10948_14-build38.tsv	ENSG00000105223
Pietzner2020-11109_56-build38.tsv	ENSG00000165124
Pietzner2020-11178_21-build38.tsv	ENSG00000165124
Pietzner2020-13118_5-build38.tsv	ENSG00000198732
Pietzner2020-13119_26-build38.tsv	ENSG00000140093
Pietzner2020-13499_30-build38.tsv	ENSG00000185010
Pietzner2020-13621_31-build38.tsv	ENSG00000183020
Pietzner2020-14048_7-build38.tsv	ENSG00000196083
Pietzner2020-14067_6-build38.tsv	ENSG00000057294
Pietzner2020-14106_46-build38.tsv	ENSG00000138698
Pietzner2020-14133_93-build38.tsv	ENSG00000115590
Pietzner2020-14708_59-build38.tsv	ENSG00000176919
Pietzner2020-15333_11-build38.tsv	ENSG00000132581
Pietzner2020-15515_2-build38.tsv	ENSG00000173432
Pietzner2020-15585_304-build38.tsv	ENSG00000140092
Pietzner2020-15588_17-build38.tsv	ENSG00000102393
Pietzner2020-15591_28-build38.tsv	ENSG00000233276
Pietzner2020-15602_43-build38.tsv	ENSG00000160712
Pietzner2020-16607_78-build38.tsv	ENSG00000148180
Pietzner2020-16828_8-build38.tsv	ENSG00000142156
Pietzner2020-16857_2-build38.tsv	ENSG00000104388
Pietzner2020-16914_104-build38.tsv	ENSG00000170458
Pietzner2020-16927_9-build38.tsv	ENSG00000124491
Pietzner2020-17333_20-build38.tsv	ENSG00000117054
Pietzner2020-17357_33-build38.tsv	ENSG00000109618
Pietzner2020-17398_55-build38.tsv	ENSG00000100292
Pietzner2020-17435_43-build38.tsv	ENSG00000140374
Pietzner2020-18382_109-build38.tsv	ENSG00000093010
Pietzner2020-18396_10-build38.tsv	ENSG00000104964
Pietzner2020-18458_4-build38.tsv	ENSG00000148334
Pietzner2020-18832_65-build38.tsv	ENSG00000134339
Pietzner2020-19223_6-build38.tsv	ENSG00000138069
Pietzner2020-2190_55-build38.tsv	ENSG00000088926
Pietzner2020-2212_69-build38.tsv	ENSG00000104368
Pietzner2020-2429_27-build38.tsv	ENSG00000157131
Pietzner2020-2429_27-build38.tsv	ENSG00000021852
Pietzner2020-2429_27-build38.tsv	ENSG00000176919
Pietzner2020-2620_4-build38.tsv	ENSG00000134352
Pietzner2020-2700_56-build38.tsv	ENSG00000184500
Pietzner2020-2731_29-build38.tsv	ENSG00000127948
Pietzner2020-2744_57-build38.tsv	ENSG00000211896
Pietzner2020-2750_3-build38.tsv	ENSG00000118137
