file_name	gene_id
ADM.tsv	ENSG00000148926
AGRP.tsv	ENSG00000159723
Beta-NGF.tsv	ENSG00000134259
CA-125.tsv	ENSG00000181143
CASP-8.tsv	ENSG00000064012
CCL20.tsv	ENSG00000115009
CCL3.tsv	ENSG00000277632
CCL4.tsv	ENSG00000275302
CD40-L.tsv	ENSG00000102245
CD40.tsv	ENSG00000101017
CHI3L1.tsv	ENSG00000133048
CSF-1.tsv	ENSG00000184371
CSTB.tsv	ENSG00000160213
CTSD.tsv	ENSG00000117984
CTSL1.tsv	ENSG00000135047
CX3CL1.tsv	ENSG00000006210
CXCL1.tsv	ENSG00000163739
CXCL16.tsv	ENSG00000161921
CXCL6.tsv	ENSG00000124875
Dkk-1.tsv	ENSG00000107984
ECP.tsv	ENSG00000169397
EGF.tsv	ENSG00000138798
EN-RAGE.tsv	ENSG00000163221
ESM-1.tsv	ENSG00000164283
FABP4.tsv	ENSG00000170323
FAS.tsv	ENSG00000026103
FGF-23.tsv	ENSG00000118972
FS.tsv	ENSG00000134363
GAL.tsv	ENSG00000069482
GDF-15.tsv	ENSG00000130513
GH.tsv	ENSG00000259384
Gal-3.tsv	ENSG00000131981
HB-EGF.tsv	ENSG00000113070
HGF.tsv	ENSG00000019991
HSP_27.tsv	ENSG00000106211
IL-18.tsv	ENSG00000150782
IL-1ra.tsv	ENSG00000136689
IL-27.tsv	ENSG00000197272
IL-6.tsv	ENSG00000136244
IL-6RA.tsv	ENSG00000160712
IL-8.tsv	ENSG00000169429
IL16.tsv	ENSG00000172349
ITGB1BP2.tsv	ENSG00000147166
KIM-1.tsv	ENSG00000113249
KLK6.tsv	ENSG00000167755
LEP.tsv	ENSG00000174697
LOX-1.tsv	ENSG00000173391
MB.tsv	ENSG00000198125
MCP-1.tsv	ENSG00000108691
MMP-1.tsv	ENSG00000196611
MMP-10.tsv	ENSG00000166670
MMP-12.tsv	ENSG00000262406
MMP-3.tsv	ENSG00000149968
MMP-7.tsv	ENSG00000137673
MPO.tsv	ENSG00000005381
NEMO.tsv	ENSG00000269335
NT-pro_BNP.tsv	ENSG00000120937
OPG.tsv	ENSG00000164761
PAPPA.tsv	ENSG00000182752
PAR-1.tsv	ENSG00000181104
PDGF_subunit_B.tsv	ENSG00000100311
PECAM-1.tsv	ENSG00000261371
PRL.tsv	ENSG00000172179
PSGL-1.tsv	ENSG00000110876
PTX3.tsv	ENSG00000163661
PlGF.tsv	ENSG00000119630
RAGE.tsv	ENSG00000204305
REN.tsv	ENSG00000143839
RETN.tsv	ENSG00000104918
SCF.tsv	ENSG00000049130
SELE.tsv	ENSG00000007908
SIRT2.tsv	ENSG00000068903
SPON1.tsv	ENSG00000262655
SRC.tsv	ENSG00000197122
ST2.tsv	ENSG00000115602
TF.tsv	ENSG00000117525
TIE2.tsv	ENSG00000120156
TM.tsv	ENSG00000178726
TNF-R1.tsv	ENSG00000067182
TNF-R2.tsv	ENSG00000028137
TNFSF14.tsv	ENSG00000125735
TRAIL-R2.tsv	ENSG00000120889
TRAIL.tsv	ENSG00000121858
TRANCE.tsv	ENSG00000120659
U-PAR.tsv	ENSG00000011422
VEGF-A.tsv	ENSG00000112715
VEGF-D.tsv	ENSG00000165197
hK11.tsv	ENSG00000167757
mAmP.tsv	ENSG00000122121
t-PA.tsv	ENSG00000104368
