file_name	gene_id
2182-54_1_one.out.merged.h.tsv	ENSG00000244731
2182-54_1_one.out.merged.h.tsv	ENSG00000224389
2190-55_1_one.out.merged.h.tsv	ENSG00000088926
2192-63_10_one.out.merged.h.tsv	ENSG00000213927
2201-17_6_one.out.merged.h.tsv	ENSG00000182871
2211-9_6_one.out.merged.h.tsv	ENSG00000102265
2212-69_1_one.out.merged.h.tsv	ENSG00000104368
2247-20_11_one.out.merged.h.tsv	ENSG00000143125
2278-61_4_one.out.merged.h.tsv	ENSG00000035862
2333-72_1_one.out.merged.h.tsv	ENSG00000105329
2358-19_2_one.out.merged.h.tsv	ENSG00000037280
2381-52_4_one.out.merged.h.tsv	ENSG00000106804
2418-55_9_one.out.merged.h.tsv	ENSG00000130203
2421-7_3_one.out.merged.h.tsv	ENSG00000176697
2424-69_4_one.out.merged.h.tsv	ENSG00000077782
2429-27_4_one.out.merged.h.tsv	ENSG00000157131
2429-27_4_one.out.merged.h.tsv	ENSG00000021852
2429-27_4_one.out.merged.h.tsv	ENSG00000176919
2431-17_3_one.out.merged.h.tsv	ENSG00000100448
2436-49_4_one.out.merged.h.tsv	ENSG00000161921
2441-2_4_one.out.merged.h.tsv	ENSG00000070193
2443-10_4_one.out.merged.h.tsv	ENSG00000107831
2447-7_4_one.out.merged.h.tsv	ENSG00000188784
2449-1_4_one.out.merged.h.tsv	ENSG00000127472
2455-17_4_one.out.merged.h.tsv	ENSG00000168811
2455-17_4_one.out.merged.h.tsv	ENSG00000113302
2468-62_3_one.out.merged.h.tsv	ENSG00000115009
2474-54_5_one.out.merged.h.tsv	ENSG00000132703
2475-1_3_one.out.merged.h.tsv	ENSG00000157404
2480-58_3_one.out.merged.h.tsv	ENSG00000100234
2484-49_3_one.out.merged.h.tsv	ENSG00000239697
2500-2_3_one.out.merged.h.tsv	ENSG00000101280
2501-51_3_one.out.merged.h.tsv	ENSG00000039068
2505-49_3_one.out.merged.h.tsv	ENSG00000146013
2514-65_3_one.out.merged.h.tsv	ENSG00000108947
2515-14_3_one.out.merged.h.tsv	ENSG00000168546
2516-57_3_one.out.merged.h.tsv	ENSG00000137077
2523-31_3_one.out.merged.h.tsv	ENSG00000271503
2524-56_3_one.out.merged.h.tsv	ENSG00000189403
2526-53_3_one.out.merged.h.tsv	ENSG00000164761
2558-51_3_one.out.merged.h.tsv	ENSG00000115138
2567-5_6_one.out.merged.h.tsv	ENSG00000205403
2570-72_5_one.out.merged.h.tsv	ENSG00000115457
2571-12_3_one.out.merged.h.tsv	ENSG00000146674
2575-5_5_one.out.merged.h.tsv	ENSG00000174697
2578-67_2_one.out.merged.h.tsv	ENSG00000108691
2579-17_5_one.out.merged.h.tsv	ENSG00000100985
2580-83_2_one.out.merged.h.tsv	ENSG00000005381
2585-2_5_one.out.merged.h.tsv	ENSG00000172179
2590-69_4_one.out.merged.h.tsv	ENSG00000185483
2597-8_3_one.out.merged.h.tsv	ENSG00000112715
2598-9_3_one.out.merged.h.tsv	ENSG00000049249
2599-51_2_one.out.merged.h.tsv	ENSG00000125657
2602-2_2_one.out.merged.h.tsv	ENSG00000091879
2603-61_2_one.out.merged.h.tsv	ENSG00000121594
2605-49_2_one.out.merged.h.tsv	ENSG00000120949
2607-54_2_one.out.merged.h.tsv	ENSG00000006016
2607-54_2_one.out.merged.h.tsv	ENSG00000175505
2609-59_2_one.out.merged.h.tsv	ENSG00000101439
2611-72_2_one.out.merged.h.tsv	ENSG00000092445
2612-5_2_one.out.merged.h.tsv	ENSG00000100664
2614-28_2_one.out.merged.h.tsv	ENSG00000243364
2615-60_2_one.out.merged.h.tsv	ENSG00000184349
2616-23_18_one.out.merged.h.tsv	ENSG00000141736
2617-56_35_one.out.merged.h.tsv	ENSG00000065361
2618-10_2_one.out.merged.h.tsv	ENSG00000178568
2619-72_2_one.out.merged.h.tsv	ENSG00000184292
2620-4_2_one.out.merged.h.tsv	ENSG00000134352
2622-18_1_one.out.merged.h.tsv	ENSG00000103415
2623-54_4_one.out.merged.h.tsv	NA
2623-54_4_one.out.merged.h.tsv	NA
2624-31_2_one.out.merged.h.tsv	NA
2624-31_2_one.out.merged.h.tsv	NA
2625-53_4_one.out.merged.h.tsv	ENSG00000080824
2625-53_4_one.out.merged.h.tsv	ENSG00000096384
2630-12_2_one.out.merged.h.tsv	ENSG00000196083
2631-50_2_one.out.merged.h.tsv	ENSG00000243646
2632-5_2_one.out.merged.h.tsv	ENSG00000096996
2633-52_2_one.out.merged.h.tsv	ENSG00000131724
2634-2_2_one.out.merged.h.tsv	ENSG00000147168
2635-61_2_one.out.merged.h.tsv	ENSG00000204381
2636-10_2_one.out.merged.h.tsv	ENSG00000111321
2637-77_2_one.out.merged.h.tsv	ENSG00000260314
2638-12_2_one.out.merged.h.tsv	ENSG00000182578
2640-3_2_one.out.merged.h.tsv	ENSG00000164078
2642-4_1_one.out.merged.h.tsv	ENSG00000168092
2643-57_2_one.out.merged.h.tsv	ENSG00000062038
2644-11_2_one.out.merged.h.tsv	ENSG00000154229
2645-54_1_one.out.merged.h.tsv	ENSG00000067606
2647-66_2_one.out.merged.h.tsv	ENSG00000057608
2649-77_2_one.out.merged.h.tsv	ENSG00000076662
2652-15_1_one.out.merged.h.tsv	ENSG00000011422
2653-62_1_one.out.merged.h.tsv	ENSG00000186868
2654-19_1_one.out.merged.h.tsv	ENSG00000067182
2658-27_1_one.out.merged.h.tsv	ENSG00000140538
2665-26_2_one.out.merged.h.tsv	ENSG00000048462
2666-53_2_one.out.merged.h.tsv	ENSG00000011465
2668-70_2_one.out.merged.h.tsv	ENSG00000014216
2668-70_2_one.out.merged.h.tsv	ENSG00000126247
2670-67_4_one.out.merged.h.tsv	ENSG00000104879
2672-60_1_one.out.merged.h.tsv	ENSG00000241186
2677-1_1_one.out.merged.h.tsv	ENSG00000146648
2681-23_2_one.out.merged.h.tsv	ENSG00000019991
2682-68_1_one.out.merged.h.tsv	ENSG00000144381
2683-1_2_one.out.merged.h.tsv	ENSG00000125730
2685-21_2_one.out.merged.h.tsv	ENSG00000115461
2686-67_2_one.out.merged.h.tsv	ENSG00000167779
2687-2_1_one.out.merged.h.tsv	ENSG00000261857
2692-74_2_one.out.merged.h.tsv	ENSG00000188257
2693-20_3_one.out.merged.h.tsv	ENSG00000099985
2695-25_1_one.out.merged.h.tsv	ENSG00000261371
2696-87_2_one.out.merged.h.tsv	ENSG00000125650
2697-7_2_one.out.merged.h.tsv	ENSG00000163737
2700-56_2_one.out.merged.h.tsv	ENSG00000184500
2704-74_1_one.out.merged.h.tsv	ENSG00000240505
2705-5_2_one.out.merged.h.tsv	ENSG00000131142
2706-69_2_one.out.merged.h.tsv	ENSG00000123561
2708-54_2_one.out.merged.h.tsv	ENSG00000120337
2711-6_2_one.out.merged.h.tsv	ENSG00000122756
2714-78_2_one.out.merged.h.tsv	ENSG00000164022
2715-25_2_one.out.merged.h.tsv	ENSG00000187266
2719-3_4_one.out.merged.h.tsv	ENSG00000119535
2723-9_2_one.out.merged.h.tsv	ENSG00000125571
2728-62_2_one.out.merged.h.tsv	ENSG00000101680
2728-62_2_one.out.merged.h.tsv	ENSG00000091136
2728-62_2_one.out.merged.h.tsv	ENSG00000135862
