file_name	gene_id
A1CF.12423.38.3.tsv	ENSG00000148584
A4GALT.8759.29.3.tsv	ENSG00000128274
AARS.12340.17.3.tsv	ENSG00000090861
ABCC6.8935.22.3.tsv	ENSG00000091262
ABHD12.7825.7.3.tsv	ENSG00000100997
ABHD14A.5715.4.3.tsv	ENSG00000248487
ABL1.3341.33.4.tsv	ENSG00000097007
ABL2.5261.13.3.tsv	ENSG00000143322
ABLIM3.13578.98.3.tsv	ENSG00000173210
ABO.9253.52.3.tsv	ENSG00000175164
ACACB.12900.29.3.tsv	ENSG00000076555
ACAN.3280.49.2.tsv	ENSG00000157766
ACAP2.12343.14.3.tsv	ENSG00000114331
ACBD6.10075.75.3.tsv	ENSG00000230124
ACBD7.13563.259.3.tsv	ENSG00000176244
ACE2.2805.6.2.tsv	ENSG00000130234
ACLY.12700.9.3.tsv	ENSG00000131473
ACP1.3858.5.1.tsv	ENSG00000143727
ACP2.9237.54.3.tsv	ENSG00000134575
ACP5.3232.28.2.tsv	ENSG00000102575
ACPL2.6079.59.3.tsv	ENSG00000155893
ACVR1B.2806.49.2.tsv	ENSG00000135503
ACVRL1.2969.11.1.tsv	ENSG00000139567
ACYP2.12812.25.3.tsv	ENSG00000170634
ADAM11.6586.19.3.tsv	ENSG00000073670
ADAM12.4420.7.2.tsv	ENSG00000148848
ADAM19.8948.13.3.tsv	ENSG00000135074
ADAM23.7049.2.3.tsv	ENSG00000114948
ADAM29.13549.15.3.tsv	ENSG00000168594
ADAM9.3795.6.2.tsv	ENSG00000168615
ADAMTS1.3174.2.1.tsv	ENSG00000154734
ADAMTS13.3175.51.5.tsv	ENSG00000160323
ADAMTS15.4533.76.2.tsv	ENSG00000166106
ADAMTS3.8845.2.3.tsv	ENSG00000156140
ADAMTS4.2809.25.2.tsv	ENSG00000158859
ADAMTS5.3168.8.2.tsv	ENSG00000154736
ADAMTS6.6441.62.3.tsv	ENSG00000049192
ADAMTSL1.6575.79.3.tsv	ENSG00000178031
ADCK4.9794.17.3.tsv	ENSG00000123815
ADCYAP1.4593.11.1.tsv	ENSG00000141433
ADCYAP1.4594.22.2.tsv	ENSG00000141433
ADCYAP1.8285.64.3.tsv	ENSG00000141433
ADGRF1.11243.90.3.tsv	ENSG00000153292
ADGRF5.6409.57.3.tsv	ENSG00000069122
ADGRG5.4551.72.3.tsv	ENSG00000159618
ADH1B.9834.62.3.tsv	ENSG00000196616
ADH4.8325.37.3.tsv	ENSG00000198099
ADM.14115.34.3.tsv	ENSG00000148926
ADPGK.6221.1.3.tsv	ENSG00000159322
ADRBK1.3347.9.2.tsv	ENSG00000173020
ADSS.12644.63.3.tsv	ENSG00000035687
ADSSL1.13998.26.3.tsv	ENSG00000185100
AFP.5792.8.2.tsv	ENSG00000081051
AGER.4125.52.2.tsv	ENSG00000204305
AGFG1.11681.8.3.tsv	ENSG00000173744
AGGF1.8051.10.3.tsv	ENSG00000164252
AGO1.11651.24.3.tsv	ENSG00000092847
AGR2.4959.2.1.tsv	ENSG00000106541
AGRP.2813.11.2.tsv	ENSG00000159723
AHSA1.11633.89.3.tsv	ENSG00000100591
AHSG.3581.53.3.tsv	ENSG00000145192
AIF1.2849.49.1.tsv	ENSG00000204472
AIFM1.13424.51.3.tsv	ENSG00000156709
AIFM1.9522.3.3.tsv	ENSG00000156709
AIMP1.2714.78.2.tsv	ENSG00000164022
AK1.5012.67.1.tsv	ENSG00000106992
AKR1A1.4192.10.2.tsv	ENSG00000117448
AKR1B1.9854.36.3.tsv	ENSG00000085662
AKR1C1.12618.50.3.tsv	ENSG00000187134
AKT1.AKT2.AKT3.2867.52.2.tsv	ENSG00000142208
AKT1.AKT2.AKT3.3392.68.2.tsv	ENSG00000142208
AKT2.14685.17.3.tsv	ENSG00000105221
AKT2.5360.9.2.tsv	ENSG00000105221
ALCAM.5451.1.3.tsv	ENSG00000170017
ALDH3A1.11480.1.3.tsv	ENSG00000108602
ALDH3B1.12940.35.3.tsv	ENSG00000006534
ALDOA.5864.10.3.tsv	ENSG00000149925
ALDOC.9876.20.3.tsv	ENSG00000109107
ALKBH5.8793.13.3.tsv	ENSG00000091542
ALOX15B.12422.143.3.tsv	ENSG00000179593
ALPI.10463.23.3.tsv	ENSG00000163295
AMBN.6522.57.3.tsv	ENSG00000178522
AMELX.8578.45.3.tsv	ENSG00000125363
AMH.4923.79.1.tsv	ENSG00000104899
AMICA1.5094.62.3.tsv	ENSG00000160593
AMICA1.8232.90.3.tsv	ENSG00000160593
AMIGO1.9979.13.3.tsv	ENSG00000181754
AMN.4322.28.3.tsv	ENSG00000166126
AMY1A.7918.114.3.tsv	ENSG00000237763
ANAPC10.12345.4.3.tsv	ENSG00000164162
ANAPC7.11690.47.3.tsv	ENSG00000196510
ANGPT1.2811.27.1.tsv	ENSG00000154188
ANGPT2.13660.76.3.tsv	ENSG00000091879
ANGPT2.2602.2.2.tsv	ENSG00000091879
ANGPT4.2500.2.3.tsv	ENSG00000101280
ANGPTL1.11142.11.3.tsv	ENSG00000116194
ANGPTL1.9092.33.3.tsv	ENSG00000116194
