Phenotype Code	Phenotype Description	UK Biobank Data Showcase Link	Sex	File	wget command	Dropbox File
100001_raw	Food weight	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100001	both_sexes	100001_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/5tipfnkl7j3fg0c/100001_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100001_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/5tipfnkl7j3fg0c/100001_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100002_raw	Energy	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100002	both_sexes	100002_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/80z4t1pgb0l9wlk/100002_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100002_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/80z4t1pgb0l9wlk/100002_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100003_raw	Protein	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100003	both_sexes	100003_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/o3sak0scch0gvo7/100003_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100003_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/o3sak0scch0gvo7/100003_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100004_raw	Fat	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100004	both_sexes	100004_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/rdmr5kjlyo4dsi8/100004_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100004_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/rdmr5kjlyo4dsi8/100004_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100005_raw	Carbohydrate	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100005	both_sexes	100005_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/x2ggg6zm7nnrqcz/100005_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100005_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/x2ggg6zm7nnrqcz/100005_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100006_raw	Saturated fat	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100006	both_sexes	100006_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/0pg5xwgq6zt8ynl/100006_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100006_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/0pg5xwgq6zt8ynl/100006_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100007_raw	Polyunsaturated fat	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100007	both_sexes	100007_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/jeptop79cdh7vtc/100007_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100007_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/jeptop79cdh7vtc/100007_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100008_raw	Total sugars	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100008	both_sexes	100008_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/7ctfqv97apisudw/100008_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100008_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/7ctfqv97apisudw/100008_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100009_raw	Englyst dietary fibre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100009	both_sexes	100009_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/fgsksge091ns941/100009_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100009_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/fgsksge091ns941/100009_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100010	Portion size	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100010	both_sexes	100010.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/lu7gu0850q20nxg/100010.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100010.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/lu7gu0850q20nxg/100010.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100011_raw	Iron	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100011	both_sexes	100011_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/vrsliz2ph8vtsw8/100011_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100011_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/vrsliz2ph8vtsw8/100011_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100012_raw	Vitamin B6	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100012	both_sexes	100012_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/glov64qmnv28u61/100012_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100012_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/glov64qmnv28u61/100012_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100013_raw	Vitamin B12	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100013	both_sexes	100013_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/en106sya9ela2wm/100013_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100013_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/en106sya9ela2wm/100013_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100014_raw	Folate	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100014	both_sexes	100014_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/jrdmu00l8l456o8/100014_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100014_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/jrdmu00l8l456o8/100014_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100015_raw	Vitamin C	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100015	both_sexes	100015_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/gud3zynpuci341e/100015_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100015_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/gud3zynpuci341e/100015_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100016_raw	Potassium	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100016	both_sexes	100016_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/uofx8v6l1jfyyej/100016_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100016_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/uofx8v6l1jfyyej/100016_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100017_raw	Magnesium	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100017	both_sexes	100017_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/9mgagcrc8tfcvax/100017_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100017_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/9mgagcrc8tfcvax/100017_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100018_raw	Retinol	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100018	both_sexes	100018_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/4j6ptb08yga69bn/100018_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100018_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/4j6ptb08yga69bn/100018_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100019_raw	Carotene	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100019	both_sexes	100019_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/cfphahxgee1byqx/100019_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100019_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/cfphahxgee1byqx/100019_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100021_raw	Vitamin D	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100021	both_sexes	100021_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/x79lvzeag4xyu81/100021_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100021_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/x79lvzeag4xyu81/100021_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100022	Alcohol	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100022	both_sexes	100022.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/l8h4z8q0km7ql28/100022.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100022.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/l8h4z8q0km7ql28/100022.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100023_raw	Starch	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100023	both_sexes	100023_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/lln2gcqfsyzcko0/100023_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100023_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/lln2gcqfsyzcko0/100023_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
